spend	apret	top10	rejr	tstsc	pacc	strat	salar
s1_below_13919	s2_39_59	s1_below_38	s2_17_47	s2_52_69	s3_35_54	s1_below_12	s3_59950_74900
s1_below_13919	s3_59_70	s1_below_38	s2_17_47	s3_69_78	s2_14_35	s2_12_19	s3_59950_74900
s1_below_13919	s1_below_39	s1_below_38	s2_17_47	s2_52_69	s3_35_54	s3_19_27	s2_52450_59950
s1_below_13919	s2_39_59	s1_below_38	s1_below_17	s2_52_69	s3_35_54	s2_12_19	s1_below_52450
s1_below_13919	s3_59_70	s1_below_38	s2_17_47	s2_52_69	s3_35_54	s2_12_19	s1_below_52450
s1_below_13919	s3_59_70	s2_38_52	s1_below_17	s2_52_69	s3_35_54	s2_12_19	s2_52450_59950
s1_below_13919	s3_59_70	s1_below_38	s1_below_17	s2_52_69	s3_35_54	s2_12_19	s1_below_52450
s1_below_13919	s5_82_up	s4_75_up	s2_17_47	s3_69_78	s3_35_54	s2_12_19	s3_59950_74900
s2_13919_19064	s3_59_70	s2_38_52	s2_17_47	s3_69_78	s2_14_35	s2_12_19	s3_59950_74900
s1_below_13919	s2_39_59	s1_below_38	s2_17_47	s2_52_69	s3_35_54	s3_19_27	s2_52450_59950
s2_13919_19064	s4_70_82	s2_38_52	s2_17_47	s3_69_78	s2_14_35	s1_below_12	s3_59950_74900
s2_13919_19064	s5_82_up	s4_75_up	s4_66_up	s4_78_up	s3_35_54	s2_12_19	s3_59950_74900
s3_19064_28052	s3_59_70	s3_52_75	s2_17_47	s3_69_78	s2_14_35	s1_below_12	s4_74900_up
s3_19064_28052	s3_59_70	s3_52_75	s2_17_47	s3_69_78	s2_14_35	s1_below_12	s3_59950_74900
s1_below_13919	s3_59_70	s1_below_38	s1_below_17	s2_52_69	s2_14_35	s1_below_12	s2_52450_59950
s1_below_13919	s4_70_82	s1_below_38	s2_17_47	s2_52_69	s2_14_35	s1_below_12	s3_59950_74900
s1_below_13919	s4_70_82	s2_38_52	s1_below_17	s3_69_78	s2_14_35	s2_12_19	s3_59950_74900
s1_below_13919	s3_59_70	s1_below_38	s2_17_47	s2_52_69	s3_35_54	s2_12_19	s2_52450_59950
s1_below_13919	s1_below_39	s1_below_38	s1_below_17	s2_52_69	s4_54_up	s2_12_19	s2_52450_59950
